ax,ay,az
-0.11,-0.98,-0.58
-0.12,-0.96,-0.52
-0.08,-0.94,-0.48
-0.11,-0.96,-0.4
-0.11,-0.97,-0.4
-0.08,-0.95,-0.41
-0.06,-0.93,-0.41
-0.09,-0.85,-0.43
-0.09,-0.69,-0.52
-0.03,-0.36,-1.21
0.15,-0.21,-2.01
0.97,-0.38,-4.0
1.28,-0.34,-4.0
0.0,1.21,-4.0
0.48,1.54,-4.0
1.27,1.25,-1.54
1.53,0.31,-0.54
2.12,-2.31,1.07
2.23,-2.98,1.7
1.57,-3.34,3.96
1.0,-3.13,4.0
0.35,-2.44,4.0
0.2,-2.07,3.95
0.07,-1.53,2.2
0.1,-1.25,1.09
0.2,-0.82,-0.45
0.21,-0.59,-0.92
-0.03,-0.65,-0.94
-0.11,-0.84,-0.76
-0.16,-1.08,-0.26
-0.19,-1.16,-0.06
-0.11,-1.21,0.02
-0.09,-1.18,0.06
-0.06,-1.04,-0.07
-0.06,-1.0,-0.18
-0.05,-0.99,-0.27
0.19,-1.34,-0.38
0.15,-1.28,-0.38
0.12,-1.27,-0.39
0.27,-1.28,-0.56
0.31,-1.29,-0.59
0.26,-1.29,-0.58
0.22,-1.24,-0.51
0.12,-1.12,-0.41
0.11,-1.08,-0.37
0.08,-1.03,-0.33
0.06,-1.0,-0.33
0.07,-0.97,-0.42
0.09,-0.97,-0.46
0.08,-0.96,-0.49
0.06,-0.97,-0.49
0.02,-0.94,-0.47
0.02,-0.91,-0.49
-0.04,-0.86,-0.42
-0.06,-0.81,-0.42
-0.07,-0.77,-0.43
-0.07,-0.75,-0.44
-0.07,-0.73,-0.45
-0.11,-0.73,-0.52
-0.08,-0.72,-0.56
-0.11,-0.71,-0.58
-0.12,-0.71,-0.6
-0.08,-0.71,-0.65
-0.04,-0.71,-0.67
0.0,-0.75,-0.58
0.02,-0.78,-0.5
0.05,-0.87,-0.32
0.08,-0.92,-0.24
0.12,-0.98,-0.1
0.12,-1.0,-0.03
0.13,-1.09,0.07
0.14,-1.13,0.12
0.14,-1.17,0.16
0.14,-1.18,0.15
0.12,-1.2,0.13
0.11,-1.19,0.11
0.08,-1.14,0.07
0.07,-1.12,0.05
0.05,-1.05,0.0
0.03,-1.01,-0.03
0.02,-0.95,-0.09
-0.0,-0.92,-0.12
-0.03,-0.91,-0.19
-0.06,-0.94,-0.25
-0.14,-1.03,-0.46
-0.21,-1.12,-0.61
-0.3,-1.26,-1.33
-0.46,-1.44,-1.98
-0.62,-1.57,-2.92
-0.89,-1.35,-4.0
-0.87,-0.95,-4.0
-0.54,-0.14,-4.0
-0.13,-0.1,-3.21
1.03,-0.67,-0.59
1.86,-0.99,0.61
2.62,-0.96,3.35
2.6,-0.65,4.0
2.08,-0.11,4.0
1.78,0.12,4.0
1.08,0.16,2.66
