ax,ay,az
0.24,-0.65,0.73
0.24,-0.64,0.72
0.24,-0.63,0.71
0.24,-0.62,0.68
0.24,-0.62,0.68
0.26,-0.64,0.67
0.27,-0.66,0.67
0.29,-0.68,0.67
0.29,-0.68,0.67
0.29,-0.67,0.66
0.29,-0.67,0.65
0.27,-0.66,0.64
0.27,-0.66,0.64
0.28,-0.67,0.64
0.27,-0.68,0.64
0.27,-0.68,0.66
0.27,-0.68,0.67
0.26,-0.67,0.65
0.25,-0.66,0.64
0.25,-0.65,0.62
0.24,-0.64,0.61
0.25,-0.66,0.6
0.26,-0.66,0.61
0.27,-0.67,0.63
0.26,-0.66,0.63
0.25,-0.65,0.64
0.25,-0.64,0.66
0.23,-0.66,0.68
0.23,-0.67,0.68
0.22,-0.67,0.68
0.22,-0.67,0.68
0.23,-0.67,0.66
0.25,-0.68,0.65
0.26,-0.69,0.64
0.28,-0.68,0.64
0.28,-0.68,0.64
0.28,-0.67,0.64
0.28,-0.66,0.64
0.27,-0.65,0.64
0.27,-0.64,0.64
0.26,-0.63,0.65
0.26,-0.63,0.65
0.24,-0.63,0.65
0.24,-0.63,0.66
0.23,-0.63,0.65
0.24,-0.63,0.65
0.26,-0.64,0.67
0.26,-0.65,0.66
0.27,-0.65,0.65
0.27,-0.66,0.65
0.28,-0.67,0.64
0.28,-0.67,0.64
0.28,-0.67,0.63
0.27,-0.66,0.63
0.27,-0.65,0.65
0.26,-0.66,0.65
0.26,-0.67,0.66
0.26,-0.66,0.67
0.26,-0.68,0.67
0.26,-0.68,0.67
0.26,-0.68,0.68
0.27,-0.68,0.68
0.27,-0.68,0.67
0.26,-0.67,0.66
0.26,-0.67,0.65
0.27,-0.67,0.65
0.27,-0.67,0.64
0.28,-0.68,0.63
0.28,-0.68,0.63
0.27,-0.67,0.63
0.27,-0.66,0.64
0.26,-0.67,0.64
0.26,-0.67,0.65
0.27,-0.7,0.64
0.27,-0.71,0.61
0.25,-0.79,0.43
0.29,-0.8,0.09
0.75,-0.71,-1.41
0.93,-0.59,-2.57
0.38,-0.25,-4.0
0.12,0.41,-3.97
0.59,1.18,0.17
1.12,0.81,3.34
2.65,-1.6,4.0
2.17,-3.12,4.0
1.34,-2.31,4.0
0.96,-0.61,3.97
-0.16,1.27,1.07
-0.28,1.24,0.23
0.21,0.34,-0.74
0.39,0.03,-1.04
0.44,-0.24,-1.48
0.41,-0.22,-1.49
0.39,-0.17,-1.21
0.42,-0.27,-1.01
0.46,-0.43,-0.77
0.5,-0.7,-0.16
0.45,-0.8,0.18
0.35,-0.82,0.88
0.33,-0.77,1.17
