ax,ay,az
0.06,-0.54,0.8
0.06,-0.55,0.78
0.06,-0.58,0.73
0.06,-0.59,0.72
0.06,-0.58,0.72
0.06,-0.57,0.7
0.07,-0.57,0.71
0.07,-0.58,0.71
0.07,-0.59,0.73
0.07,-0.59,0.75
0.07,-0.59,0.75
0.08,-0.59,0.76
0.07,-0.6,0.76
0.08,-0.6,0.75
0.08,-0.61,0.75
0.08,-0.63,0.75
0.08,-0.63,0.76
0.07,-0.62,0.75
0.08,-0.63,0.75
0.07,-0.63,0.75
0.08,-0.63,0.75
0.07,-0.64,0.75
0.07,-0.66,0.74
0.07,-0.69,0.74
0.07,-0.7,0.74
0.06,-0.73,0.73
0.06,-0.75,0.72
0.07,-0.82,0.68
0.05,-0.83,0.65
0.05,-0.9,0.59
0.06,-0.93,0.58
0.05,-0.97,0.57
0.05,-0.99,0.54
0.03,-0.99,0.52
0.03,-0.99,0.49
0.01,-0.98,0.48
0.0,-0.97,0.49
0.0,-0.95,0.49
-0.0,-0.94,0.48
-0.01,-0.92,0.49
-0.01,-0.9,0.49
-0.01,-0.9,0.5
-0.02,-0.91,0.51
-0.02,-0.9,0.51
-0.03,-0.9,0.5
-0.04,-0.9,0.5
-0.04,-0.91,0.5
-0.05,-0.91,0.49
-0.06,-0.91,0.5
-0.06,-0.9,0.49
-0.06,-0.87,0.47
-0.07,-0.88,0.45
-0.07,-0.89,0.44
-0.07,-0.89,0.45
-0.07,-0.87,0.45
-0.08,-0.87,0.44
-0.09,-0.87,0.44
-0.09,-0.87,0.44
-0.11,-0.84,0.42
-0.11,-0.83,0.41
-0.12,-0.8,0.41
-0.13,-0.79,0.41
-0.13,-0.78,0.39
-0.13,-0.78,0.38
-0.13,-0.78,0.36
-0.13,-0.78,0.36
-0.13,-0.79,0.36
-0.14,-0.79,0.37
-0.15,-0.77,0.36
-0.16,-0.79,0.35
-0.17,-0.8,0.31
-0.17,-0.8,0.29
-0.19,-0.76,0.33
-0.18,-0.68,0.41
-0.13,-0.55,0.6
-0.11,-0.52,0.83
-0.18,-0.69,0.94
-0.33,-0.83,0.65
-0.26,-0.67,0.48
-0.14,-0.06,0.31
-0.07,0.08,0.66
-0.09,0.06,1.17
-0.12,-0.04,1.15
-0.14,-0.5,1.1
-0.15,-0.65,1.1
-0.15,-0.77,1.02
-0.17,-0.75,1.0
-0.13,-0.5,1.01
-0.13,-0.39,0.97
-0.14,-0.33,0.86
-0.16,-0.32,0.87
-0.16,-0.29,0.94
-0.16,-0.28,0.96
-0.15,-0.27,0.94
-0.15,-0.28,0.93
-0.16,-0.3,0.92
-0.17,-0.29,0.92
-0.17,-0.29,0.89
-0.17,-0.29,0.88
-0.16,-0.29,0.89
